2021-12-01 10:11:59.520  INFO 18520 --- [http-nio-8000-exec-7] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:11:59.532  INFO 18520 --- [http-nio-8000-exec-7] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:12:04.023  INFO 18520 --- [http-nio-8000-exec-8] o.a.r.mngt.api.CampaignController        : All Campaign inside controller
2021-12-01 10:12:04.033  INFO 18520 --- [http-nio-8000-exec-8] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:12:04.035  INFO 18520 --- [http-nio-8000-exec-8] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:12:04.035  INFO 18520 --- [http-nio-8000-exec-8] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:12:04.036  INFO 18520 --- [http-nio-8000-exec-8] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:12:04.049  INFO 18520 --- [http-nio-8000-exec-8] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:12:04.079  INFO 18520 --- [http-nio-8000-exec-8] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:12:04.081  INFO 18520 --- [http-nio-8000-exec-8] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:12:04.081  INFO 18520 --- [http-nio-8000-exec-8] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:12:04.082  INFO 18520 --- [http-nio-8000-exec-8] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:12:04.094  INFO 18520 --- [http-nio-8000-exec-8] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:13:35.211  INFO 18520 --- [http-nio-8000-exec-9] o.a.r.mngt.api.CampaignController        : All Campaign inside controller
2021-12-01 10:13:35.222  INFO 18520 --- [http-nio-8000-exec-9] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:13:35.225  INFO 18520 --- [http-nio-8000-exec-9] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:13:35.226  INFO 18520 --- [http-nio-8000-exec-9] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:13:35.227  INFO 18520 --- [http-nio-8000-exec-9] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:13:35.241  INFO 18520 --- [http-nio-8000-exec-9] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:13:35.267  INFO 18520 --- [http-nio-8000-exec-9] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:13:35.270  INFO 18520 --- [http-nio-8000-exec-9] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:13:35.273  INFO 18520 --- [http-nio-8000-exec-9] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:13:35.274  INFO 18520 --- [http-nio-8000-exec-9] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:13:35.289  INFO 18520 --- [http-nio-8000-exec-9] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:14:12.071  INFO 18520 --- [http-nio-8000-exec-10] o.a.r.mngt.api.CampaignController        : All Campaign inside controller
2021-12-01 10:14:12.083  INFO 18520 --- [http-nio-8000-exec-10] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:14:12.086  INFO 18520 --- [http-nio-8000-exec-10] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:14:12.086  INFO 18520 --- [http-nio-8000-exec-10] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:14:12.087  INFO 18520 --- [http-nio-8000-exec-10] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:14:12.096  INFO 18520 --- [http-nio-8000-exec-10] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:14:12.121  INFO 18520 --- [http-nio-8000-exec-10] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:14:12.124  INFO 18520 --- [http-nio-8000-exec-10] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:14:12.125  INFO 18520 --- [http-nio-8000-exec-10] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:14:12.126  INFO 18520 --- [http-nio-8000-exec-10] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:14:12.139  INFO 18520 --- [http-nio-8000-exec-10] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:14:36.350  INFO 18520 --- [http-nio-8000-exec-1] o.a.r.mngt.api.CampaignController        : All Campaign inside controller
2021-12-01 10:14:36.359  INFO 18520 --- [http-nio-8000-exec-1] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:14:36.361  INFO 18520 --- [http-nio-8000-exec-1] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:14:36.361  INFO 18520 --- [http-nio-8000-exec-1] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:14:36.362  INFO 18520 --- [http-nio-8000-exec-1] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:14:36.371  INFO 18520 --- [http-nio-8000-exec-1] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:14:36.396  INFO 18520 --- [http-nio-8000-exec-1] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:14:36.399  INFO 18520 --- [http-nio-8000-exec-1] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:14:36.399  INFO 18520 --- [http-nio-8000-exec-1] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:14:36.401  INFO 18520 --- [http-nio-8000-exec-1] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:14:36.413  INFO 18520 --- [http-nio-8000-exec-1] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:15:52.867  INFO 18520 --- [http-nio-8000-exec-2] o.a.r.mngt.api.CampaignController        : All Campaign inside controller
2021-12-01 10:15:52.876  INFO 18520 --- [http-nio-8000-exec-2] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:15:52.879  INFO 18520 --- [http-nio-8000-exec-2] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:15:52.879  INFO 18520 --- [http-nio-8000-exec-2] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:15:52.880  INFO 18520 --- [http-nio-8000-exec-2] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:15:52.890  INFO 18520 --- [http-nio-8000-exec-2] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:15:52.920  INFO 18520 --- [http-nio-8000-exec-2] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:15:52.923  INFO 18520 --- [http-nio-8000-exec-2] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:15:52.923  INFO 18520 --- [http-nio-8000-exec-2] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:15:52.924  INFO 18520 --- [http-nio-8000-exec-2] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:15:52.933  INFO 18520 --- [http-nio-8000-exec-2] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
